video_title,video_url,author,comment,type,video_published_date,video_likes,video_views,channel_subscribers,comment_date,crawled_at,search_keyword
I was wrong about Claude Code (UPDATED AI workflow tutorial),https://www.youtube.com/watch?v=gNR3XI5Eb0k&pp=ygUPQ2xhdWRlIDQuNSBPcHVz,Uploader(Desc),"안녕하세요, 저는 크리스입니다. 생산성 앱(Mogul, Ellie, Luna, Lily)을 개발하고 있습니다. 👋

이 영상에서는 업데이트된 AI 코딩 워크플로(Claude Code 사용, Cursor에서 전환한 이유, AI 코딩 분야에 대한 생각)에 대해 이야기하고, 이를 통해 개발자로서 20배 더 빠르게 작업할 수 있었던 비결을 알려드립니다.

스폰서십은 없지만, 클로드 코드 링크는 다음과 같습니다: http://clau.de/chrisaroque

제 앱 및 소셜 미디어: https://chrisraroque.com
AI에 초점을 맞춘 두 번째 채널 👀:    / @aloalabs  
AI 관련 제품 제작에 도움이 필요하신가요?: https://aloa.co

타임스탬프:
0:00 - 소개/AI 사용 배경
0:36 - 클로드 코드로 전환한 이유/작동 방식
1:48 - 9단계 클로드 코드 워크플로
6:33 - 클로드 코드가 커서 에이전트보다 뛰어난 사례
8:16 - 클로드 코드로 전환한 이유에 대한 자세한 설명
9:06 - 클로드 코드에서 사용하는 모델
8:29 - 클로드 코드보다 나은 이유에 대한 생각
11:02 - 클로드 코드의 3가지 단점
11:52 - 클로드를 사용해야 하는 사람 코드
12:28 - 결론 & 시청해 주셔서 감사합니다 :)

#앱개발 #일상 #소프트웨어엔지니어 #스타트업 #소프트웨어개발 #인디앱개발자 #일상코딩 #나와함께코드 #공개빌드 #브이로그
콘텐츠 생성 방식
자동 더빙
일부 언어의 오디오 트랙이 자동으로 생성되었습니다. 자세히 알아보기
챕터
모두 보기
소개/AI 사용 배경
0:00
클로드 코드로 전환한 이유/작동 방식
0:36
9단계 클로드 코드 워크플로
1:48
클로드 코드가 커서 에이전트보다 뛰어난 사례
6:33
클로드 코드로 전환한 이유에 대한 자세한 설명
8:16
클로드 코드에서 사용하는 모델
9:06
이 동영상을 리믹스한 Shorts 동영상
Shorts 동영상 1개
Claude AI
조회수 125회
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
Chris Raroque
구독자 5.15만명
동영상
정보
간략히",description,5개월 전,8500,323441,51500,,2025-11-26,Claude 4.5 Opus
Sonnet 4.5 is the best coding model in the world,https://www.youtube.com/watch?v=uZBjVeyiYkk&pp=ygUPQ2xhdWRlIDQuNSBPcHVz,Uploader(Desc),"Anthropic finally dropped a new model: Claude 4.5 Sonnet. And it's really good...

Thank you Arcjet for sponsoring! Check them out at: https://soydev.link/arcjet

Use code KINDA-SAFE for 1 month of T3 Chat (the best place to use sonnet 4.5) for just $1: https://soydev.link/chat

SOURCE
https://www.anthropic.com/news/claude...

Want to sponsor a video? Learn more here: https://soydev.link/sponsor-me

Check out my Twitch, Twitter, Discord more at https://t3.gg

S/O Ph4se0n3 for the awesome edit 🙏
스크립트
스크립트를 보면서 시청하세요.
스크립트 표시
Theo - t3․gg
구독자 48.7만명
동영상
정보
Second Channel
Third Channel
Twitter
Twitch
간략히",description,1개월 전,3300,120913,487000,,2025-11-26,Claude 4.5 Opus
Sonnet 4.5 is the best coding model in the world,https://www.youtube.com/watch?v=uZBjVeyiYkk&pp=ygUPQ2xhdWRlIDQuNSBPcHVz,@alec-dora,"Instead of asking it to make a website from scratch to test the UI skills, ask it to implement a specific component or give it an already existing website and ask it to implement a new page following the same theme and general style of UI as the rest of the website.",comment,1개월 전,3300,120913,487000,1개월 전(수정됨),2025-11-26,Claude 4.5 Opus
Sonnet 4.5 is the best coding model in the world,https://www.youtube.com/watch?v=uZBjVeyiYkk&pp=ygUPQ2xhdWRlIDQuNSBPcHVz,@trappedcat3615,"The model season is upon us. Nano this, mini that, 3.33 pro, banana, 6.1o ultra",comment,1개월 전,3300,120913,487000,1개월 전(수정됨),2025-11-26,Claude 4.5 Opus
Sonnet 4.5 is the best coding model in the world,https://www.youtube.com/watch?v=uZBjVeyiYkk&pp=ygUPQ2xhdWRlIDQuNSBPcHVz,@turnonesacredcat7923,can't wait for your video next week on gemini 3.0 (hopefully),comment,1개월 전,3300,120913,487000,1개월 전,2025-11-26,Claude 4.5 Opus
Sonnet 4.5 is the best coding model in the world,https://www.youtube.com/watch?v=uZBjVeyiYkk&pp=ygUPQ2xhdWRlIDQuNSBPcHVz,@fluffyrabbit.9999,"you should break out of the well-worn paths of your own benchmarks and standardized ways of testing coding agents and try A/B testing codex vs sonnet 4.5 in a fairly ambitious novel project and record your journey and lessons in prompting. you are a competent coder; there is a lack of good content with competent coders showing how to use agentic coders to mitigate their weaknesses and maximize their productivity while undertaking more ambitious projects (game design; complex webapps). something along those lines, at least.",comment,1개월 전,3300,120913,487000,1개월 전(수정됨),2025-11-26,Claude 4.5 Opus
Sonnet 4.5 is the best coding model in the world,https://www.youtube.com/watch?v=uZBjVeyiYkk&pp=ygUPQ2xhdWRlIDQuNSBPcHVz,@volkovolko,"Pretty sure that they just released Claude 4.5 because it was on there schedule and not because ""they were scared of how good gpt5 codex is""",comment,1개월 전,3300,120913,487000,1개월 전,2025-11-26,Claude 4.5 Opus
Sonnet 4.5 is the best coding model in the world,https://www.youtube.com/watch?v=uZBjVeyiYkk&pp=ygUPQ2xhdWRlIDQuNSBPcHVz,@goatloard8119,Still wondering when it gets cheaper,comment,1개월 전,3300,120913,487000,1개월 전,2025-11-26,Claude 4.5 Opus
Sonnet 4.5 is the best coding model in the world,https://www.youtube.com/watch?v=uZBjVeyiYkk&pp=ygUPQ2xhdWRlIDQuNSBPcHVz,@Horrificl,Rumor has it that they written their articles with Claude.,comment,1개월 전,3300,120913,487000,1개월 전,2025-11-26,Claude 4.5 Opus
Sonnet 4.5 is the best coding model in the world,https://www.youtube.com/watch?v=uZBjVeyiYkk&pp=ygUPQ2xhdWRlIDQuNSBPcHVz,@turnonesacredcat7923,This seems like a good opportunity to add mcp to t3 chat....,comment,1개월 전,3300,120913,487000,1개월 전,2025-11-26,Claude 4.5 Opus
